step,episode,reward,model_loss,actor_loss,critic_loss
100,0,-3.4983498349834865,49.266770687103275,1.434806901407428,0.18455673964694141
200,0,-13.597359735973521,16.84116310119629,4.116352685689926,0.39095926977694034
300,0,-26.9966996699671,11.040739059448242,4.739439891576767,0.6746282739937306
400,0,-37.09570957095749,9.300618391036988,3.79335212290287,2.334541863203049
500,1,0.0,8.344064435958863,-11.517399802543222,8.59331123828888
600,1,0.24291497975711526,7.242551846504211,-29.276216831207275,10.777857253551483
700,1,-19.757085020242897,6.526917724609375,7.625329667441547,4.808153491020203
800,1,-31.659919028340344,6.4025877523422245,20.19304211616516,5.859034712314606
900,1,-47.611336032389204,6.016111741065979,8.15682819366455,3.3255250680446626
1000,2,0.0,5.924681000709533,5.523816013336182,1.3011013674736023
1100,2,-3.164983164983123,5.891402516365051,4.0343546962738035,0.9499979442358018
1200,2,-23.164983164983184,6.081903791427612,4.045495121479035,1.2522631311416625
1300,2,-43.16498316498347,6.034641351699829,6.883817238807678,1.3762602025270463
1400,2,-63.16498316498375,5.8090453577041625,9.279511914253234,1.8140437376499177
1500,3,0.0,5.740274128913879,13.581809301376342,2.603882842063904
1600,3,4.475524475524548,5.640225410461426,7.436767983734608,2.4306743109226225
1700,3,-15.524475524475415,5.763818888664246,-6.637160622105003,5.400722033977509
1800,3,-35.52447552447569,5.618850474357605,-7.378816883563996,4.979188525676728
1900,3,-55.524475524475974,5.502096657752991,-4.264232252836227,4.951258361339569
